20230802	15:14:49 	30fb4d6e-870c-4eca-bd5b-5d5f975e7377	/new-page	GET
20230802	15:14:49 	cf8299db-3240-4f53-a3c1-f9c29ed71f9c	/css/style.css	GET
20230802	15:14:49 	064509f0-fb38-4fed-a2ea-fa00e83c2ae0	/img/img1.jpg	GET
20230802	15:14:50 	dfc510c5-7f44-4d93-bd0a-e27dd7fce40d	/favicon.ico	GET
20230802	15:17:59 	4a21c44a-b90c-427b-a21e-efd8d363c99a	/new-page	GET
20230802	15:19:51 	a1677851-22c0-4f85-953f-d8e9d5e32ef2	/new-page	GET
20230802	15:19:51 	42c26c76-9927-4d72-9507-b050980b01b3	/css/style.css	GET
20230802	15:19:51 	bf1df0c1-4971-4a74-987b-60a7597f1d0b	/img/img1.jpg	GET
20230804	23:41:19 	4f0d899d-bb27-4bf6-8744-be205e624ada	GET	undefined	/
20230804	23:41:19 	6fd7d031-7e75-4f71-8d22-8aef74994e83	GET	undefined	/css/style.css
20230805	00:04:19 	27285909-08f3-4ec1-830a-7af7e654cbd0	GET	undefined	/jhvfjv
20230805	00:04:20 	636783d9-a680-4d65-85da-a4a5a7d7ef09	GET	undefined	/css/style.css
20230810	01:57:03 	3ff62f4c-e46e-473f-b8aa-48dee40e619b	GET	undefined	/
20230810	01:57:03 	c7a558b3-ee25-4ecd-8e0a-5e1264323cfa	GET	undefined	/css/style.css
20230810	01:57:49 	cc4121a3-54f3-4b69-977c-c74f5872db65	GET	undefined	/subdir
20230810	01:57:49 	41444ca7-0c35-4259-ab13-6d55fe08f925	GET	undefined	/css/style.css
20230810	01:57:53 	3d477628-c097-4a40-aa4e-b63a44c59c0b	GET	undefined	/subdir
20230810	01:57:53 	5c30b809-c924-42a1-b98b-827d6ac857d1	GET	undefined	/css/style.css
20230810	02:00:10 	c5ea29b9-9825-4f72-8f09-d431f88e2b62	GET	undefined	/subdir
20230810	02:41:33 	2e5c981d-3634-453d-9f5c-53405ebdc4bd	GET	undefined	/employee
20230810	02:44:09 	c4b5aab6-d5cc-4006-a98c-31b622a3d7f6	GET	undefined	/employee
20230810	02:45:26 	6ce903e1-582f-41b5-be2a-ec8744e59217	GET	undefined	/employee
20230810	02:45:26 	ddcc60b1-cad5-4493-9e75-9a3c1fcf1e7b	GET	undefined	/css/style.css
20230810	02:49:27 	8248cb3a-830b-45c9-a4a6-b12b48e8d68d	GET	undefined	/employee
20230810	02:49:44 	11b05fe9-1ad6-4737-b29f-1110ee0e5659	GET	undefined	/employee
20230810	04:55:43 	c0f5e057-15c3-4723-83de-22e2dd00c65f	GET	undefined	/employee
20230810	04:57:49 	1a807c01-61d6-4e97-bf30-da7979e92596	POST	undefined	/employee
20230810	04:59:59 	33ab3e89-4cce-4282-bc2f-d5c8f1ec130b	PUT	undefined	/employee
20230810	05:01:09 	24fbcb59-de17-46fe-9741-59607a119a1c	GET	undefined	/employee/3
20230810	05:01:20 	068c2527-e174-4108-befd-fa92f4762f08	GET	undefined	/employee
20230810	05:02:31 	3c2c18b3-ec46-46f5-a0b2-c411449bfe7f	GET	undefined	/employee
20230810	05:03:27 	8ac048cc-75a0-4c1d-917c-6eb075bf7651	GET	undefined	/employee/1
20230810	05:05:40 	b9ac79c2-12c6-4a72-8d29-c86a8838b7dc	GET	undefined	/employee
20230810	05:06:41 	68b5f95b-c68b-489d-9689-93742de6af38	GET	undefined	/employee
20230810	05:09:21 	49f34685-0044-4715-813b-28cdc814c45d	POST	undefined	/employee
20230810	05:11:26 	2c4ad16f-a802-4183-ba5b-bc9b1b2a0e93	GET	undefined	/employee
20230810	05:15:21 	23b58d82-e75f-44a6-a8af-e4b4bbce2354	GET	undefined	/employee
20230810	05:16:53 	751fe7dd-7e0a-43ad-bc32-c4372977913e	GET	undefined	/employee
20230810	05:17:16 	db322579-439c-4f03-99ed-615ed2240034	GET	undefined	/employee/1
20230810	06:23:29 	f1d315bb-2e9c-4ea0-9dc1-3e01424433c5	POST	undefined	/auth
20230810	06:23:50 	33243a3d-159b-4abb-8f1f-e195a6e20211	POST	undefined	/auth
20230810	11:22:01 	55231db1-0d71-4e00-89bc-1ee8a7cc1ca4	POST	undefined	/register
20230810	11:26:45 	05e7b191-91d6-4e42-a85a-7fc022a57d14	GET	undefined	/auth
20230810	11:29:32 	41a82a03-97f6-4955-85df-11c51e8f0124	POST	undefined	/auth
20230810	20:21:06 	95a7d137-9549-46ab-8b27-a9f25b7c3358	GET	undefined	/auth
20230810	20:25:53 	77fc43e8-a4ed-4806-ae9c-bf8333a4b7b1	GET	undefined	/auth
20230810	20:26:05 	ad510b6b-eea8-49a1-81b7-c94f28c16128	GET	undefined	/auth
20230810	20:26:31 	08e082da-e9d4-4b70-91d1-59a81a8155f0	POST	undefined	/auth
